Country,Subtopic,Status,Justification
Turkmenistan,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Turkmenistan,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Turkmenistan,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Turkmenistan,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Turkmenistan,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Turkmenistan,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Turkmenistan,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tuvalu,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tuvalu,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Tuvalu,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tuvalu,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tuvalu,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tuvalu,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
